0,16085,7860.3,2677.4,3463.2,5224.5,18749,4466.8,9643.3,13103,10508,12880,6015.7,16312,17128,10007,11631,14447,5851.9,12819,18761,3225.8,7186.4,11368,16402,15129,17976,6381.1,8559.4,13018,9322.6,5753.4,9572.2,9250.2,13849,9316.5,8118.7,16908,5448.2,3869.8,6097.7,12681,17337,18211,6752,9259.1,14723,17651,16862,11744,5687.8,11815,4261.1,14983,13112,3438.5,13176,11331,11703,6467.8,2917.2,17634,15907,14107,18084,11187,17707,13199,2691.3,5381.2,8367.9,18996,7706.1,13199,8660.8,6157.8,17006,13491,7816.2
16085,0,15592,14062,14062,17669,2783.6,15220,12708,3425.1,8753.6,7892,12399,6461,6315.6,6182.2,4530.7,9395.6,17510,3756.6,4889.6,13618,9093.1,7427.7,3339.5,6985.8,4636.5,11777,14365,8716.4,13626,12111,7365.4,14504,4913.2,6814.8,11501,5193.8,10910,16854,14475,3769.3,3756.3,5617.4,17144,12054,7319.7,5521.1,6281.7,4619.8,16044,4762.2,13282,8959.9,2985.9,13400,7387.6,7779.8,12127,11327,13993,4085.5,682.23,9609.1,5123.3,12585,1662.1,9297.7,16237,13963,13797,3053.5,16011,9297.7,9434,14544,4228.5,2596.8,12515
7860.3,15592,0,10281,7971.6,5423,13019,5511.2,3420,19015,9048.2,8434.9,7872.1,11500,10867,17523,18396,7750.9,4799.7,19337,10978,10764,15024,15358,15063,11915,10989,8494.7,1589.5,11416,2142.3,8652.1,12833,4542,11949,16709,11810,10402,11589,7281.6,8978.4,15502,13921,10914,3275.9,9909.9,11820,11665,11219,15520,7158.2,19669,8366.8,7468,17077,9063.1,8962.1,9824.7,5672.5,9182.7,8608.1,13399,15263,6248.5,11874,5584.8,14345,10140,6102.2,6184.6,2905.1,12776,4149.2,10140,9926.7,8843.5,13760,17390,5690.9
2677.4,14062,10281,0,5281.6,6233.5,16727,6995.3,12321,10726,12067,14891,7809,14779,16032,7923.2,9570.8,15072,7020.2,10412,18581,549.26,4999.2,8798.8,13731,13416,18640,7949.6,11170,11471,11941,7244.2,9509,10347,14286,7381.1,6142.7,18407,5295.9,4162.1,5194.6,11581,14731,17243,8381,8090.5,13051,15974,15497,10667,5745.2,9388.8,5863.7,16298,11385,4640.3,15011,12647,12692,7763,4402.6,15116,14177,16323,16221,12099,15395,12182,5294.2,7701,11045,16961,8927.3,12182,9776.4,5325.1,14485,11592,10204
3463.2,14062,7971.6,5281.6,0,8030.4,15618,2553.6,7991.4,12656,7073,9665,2596.4,19454,18489,9551.6,10789,15719,8417.3,12521,15888,5743,7571.9,13711,16868,18589,14686,2918.2,7794.1,16480,8385.6,2301.4,6712.1,11312,10445,8737.8,11368,13653,3636.5,7219.2,9560,10299,17773,17501,8630,12720,18185,18768,19041,9493.1,8970.6,11791,839.16,15118,11402,1139.1,9873.3,7870.4,13400,3049,945.25,18147,13543,13317,18431,13093,15495,16512,2222.5,2614.2,6873.1,15752,9897.7,16512,5232.2,9616.7,18156,11961,5045.7
5224.5,17669,5423,6233.5,8030.4,0,16049,7138.9,8781.1,15426,13529,13822,9930.2,11534,11983,13828,15311,9296.1,802.67,15116,14305,6497.3,11039,10605,14337,10810,15129,10534,6955.9,8978.2,7565.2,10142,14696,4168,17219,13470,6589.6,15112,10671,2162.9,3616.2,17795,14056,12988,2383.1,5637.9,10451,12678,11866,16857,1825.8,14319,8853.4,10173,17304,8473.8,14351,14491,6611.6,10933,7887.7,13818,18333,10210,13118,6051.1,16504,8518.4,5982.6,8398.4,7929.3,15810,2695.3,8518.4,12908,3501.8,13559,17194,9723.1
18749,2783.6,13019,16727,15618,16049,0,15301,10750,6009.7,8799.4,6800.3,13217,4738.4,4090.4,8956.3,7308.4,6829.3,15430,6318.9,2108.5,16226,11850,8637.2,3514.2,5770.1,2140.5,12760,12089,7853.5,11316,13327,9225.5,12026,5183.2,9598.4,12307,3040.1,13303,17190,14727,6068.4,2943.3,3070.1,14482,11623,6172.3,3464.4,4280.1,7006.1,15431,7341.9,14783,6211.3,5706.3,15427,6416.7,7902,9569.3,12569,15988,2869.7,2875.8,6857,3016.8,10091,1333.8,7871.7,17051,14188,12001,272.29,13569,7871.7,10392,14699,3403.9,5370.4,11940
4466.8,15220,5511.2,6995.3,2553.6,7138.9,15301,0,5596.1,14979,6685.1,8516.4,2891.3,16957,16042,12032,13109,13201,7227.9,14905,14420,7530.9,10111,15794,18546,17357,13523,3548.4,5241,16058,5846.9,3402.4,8196.9,9392.9,10543,11220,12421,12467,6090.8,7234.9,9838.2,11820,18204,15485,6878.4,12681,17164,16668,16526,11205,8620.3,14279,2855.6,12580,13257,3691.6,8885.4,7645.2,11126,4115.2,3372.5,17910,14557,10849,16640,10934,15988,15215,1793.9,1263.9,4400.1,15274,8210.6,15215,5800.9,9828.2,18546,13852,3379.9
9643.3,12708,3420,12321,7991.4,8781.1,10750,5596.1,0,15823,5879.9,5041.9,6518,11636,10513,15724,15318,8258.7,8205,16131,9124.5,12869,15374,17978,13973,12676,8616.5,6935.5,1837.4,13280,1410.9,7415.3,10181,7418.9,8533.8,15196,15224,7747.6,10904,10429,12379,12142,12912,9899.5,6694.3,13078,12804,11076,11050,12334,10559,16800,7931.2,7210.3,13661,9091.4,5570.9,6532.7,7442.8,7591.8,8900.6,12462,12202,5330.8,11053,7661.5,12012,11866,7096.6,5432.7,1275.4,10580,7453.2,11866,7393.5,12250,13055,13982,3514.6
13103,3425.1,19015,10726,12656,15426,6009.7,14979,15823,0,10522,10782,12365,7916.9,8411.5,3224.2,1877.1,11598,15972,335.17,8067.7,10247,5917.8,5088,4243,7689.5,8026.9,11712,17639,8502.9,16972,11664,7154.6,15482,7320.3,4011.5,8899.2,8617.7,9020.4,13673,11820,4045.3,5336.8,8240.7,17339,10523,7843.4,7592.2,8112.1,4246.5,13636,1343.4,12163,11718,2375.6,11614,10253,9671.8,13918,11050,12111,5851.1,3777.2,12818,7342.9,14113,4689.1,9668,14667,14118,16590,6256.7,16231,9668,9993.2,11944,5561.7,1916.7,14128
